name,salary_from,salary_to,salary_currency,area_name,published_at
Менеджер по инженерной поддержке продаж (инженерные системы),50000.0,65000.0,RUR,Москва,2007-12-05T16:25:42+0300
Аналитик / постановщик задач в Отдел программных решений,41000.0,66000.0,RUR,Москва,2007-12-05T16:28:22+0300
Программист 1С,50000.0,60000.0,RUR,Москва,2007-12-05T16:49:47+0300
Специалист по установке инженерных системам безопасности,12000.0,25000.0,RUR,Краснодар,2007-12-05T16:57:58+0300
Системный администратор,27500.0,36000.0,RUR,Москва,2007-12-12T10:57:15+0300
Менеджер по разработке продуктов и услуг,80000.0,80000.0,RUR,Москва,2007-12-05T18:12:23+0300
Начальник аналитического отдела,80000.0,100000.0,RUR,Москва,2007-12-05T18:57:10+0300
Начальник отдела телекоммуникации и связи,20000.0,25000.0,RUR,Казань,2007-12-26T13:40:08+0300
IT systems administrator,30000.0,55000.0,RUR,Москва,2007-12-06T10:04:24+0300
Руководитель IT-отдела,45000.0,55000.0,RUR,Москва,2007-12-21T13:14:40+0300
Оператор технической поддержки (HelpDesk),18000.0,20000.0,RUR,Москва,2007-12-06T10:40:55+0300
Инженер отдела тестирования,23000.0,27000.0,RUR,Москва,2007-12-06T10:43:30+0300
Администратор сети и телекоммуникационных систем,18000.0,20000.0,RUR,Новосибирск,2007-12-26T06:48:46+0300
Системный администратор Unix/Free BSD,70000.0,85000.0,RUR,Москва,2007-12-12T19:01:39+0300
Менеджер по работе с юридическими лицами,20000.0,30000.0,RUR,Москва,2007-12-06T13:31:26+0300
Системный администратор,25000.0,40000.0,RUR,Москва,2007-12-06T14:10:13+0300
Контент-менеджер,14000.0,16000.0,RUR,Москва,2007-12-13T15:02:30+0300
Программист (Oracle),50000.0,70000.0,RUR,Москва,2007-12-06T16:08:48+0300
Системный администратор,30000.0,30000.0,RUR,Санкт-Петербург,2007-12-06T16:16:09+0300
Тестировщик компьютерных игр и сайтов,18000.0,18000.0,RUR,Санкт-Петербург,2007-12-18T10:36:47+0300
Senior Systems and Security Administrator,40000.0,55000.0,RUR,Челябинск,2007-12-06T18:18:26+0300
Regional IT Manager,50000.0,55000.0,RUR,Челябинск,2007-12-06T18:21:58+0300
End-user engineer,25000.0,30000.0,RUR,Челябинск,2007-12-06T18:25:43+0300
Администратор информационных систем,40000.0,45000.0,RUR,Москва,2007-12-06T18:52:46+0300
Инженер связи,20000.0,25000.0,RUR,Новосибирск,2007-12-07T06:48:20+0300
Системный администратор,20000.0,25000.0,RUR,Новосибирск,2007-12-07T07:27:20+0300
Технический консультант,18000.0,25000.0,RUR,Новосибирск,2007-12-07T07:43:59+0300
Администратор приложения (ODS),23000.0,28000.0,RUR,Москва,2007-12-18T13:34:28+0300
Специалист системной поддержки,22400.0,25800.0,RUR,Москва,2007-12-07T11:01:29+0300
Системный администратор,15000.0,30000.0,RUR,Казань,2007-12-07T11:03:04+0300
Старший системный администратор,40000.0,45000.0,RUR,Москва,2007-12-07T11:09:52+0300
Системный администратор,25000.0,60000.0,RUR,Москва,2007-12-07T11:22:21+0300
Технический специалист (АТС Siemens),30000.0,40000.0,RUR,Санкт-Петербург,2007-12-07T12:20:38+0300
Менеджер проектов (в области директ мейла и программ лояльности),30000.0,30000.0,RUR,Москва,2007-12-07T13:40:23+0300
Программист 1С,16000.0,40000.0,RUR,Санкт-Петербург,2007-12-07T14:25:03+0300
Контент-менеджер,20000.0,25000.0,RUR,Москва,2007-12-07T15:07:35+0300
Программист MS Dynamics AX,65000.0,75000.0,RUR,Москва,2007-12-07T15:14:38+0300
Программист-разработчик,35000.0,55000.0,RUR,Москва,2007-12-07T15:59:48+0300
Администратор сети,10000.0,15000.0,RUR,Нижний Новгород,2007-12-07T16:12:13+0300
Программист - разработчик 1 С,53000.0,53000.0,RUR,Москва,2007-12-28T14:54:51+0300
Системный администратор,20000.0,30000.0,RUR,Санкт-Петербург,2007-12-07T16:58:41+0300
Координатор проектного офиса,25000.0,36000.0,RUR,Москва,2007-12-07T17:21:41+0300
Старший менеджер по техподдержке клиентов,40000.0,50000.0,RUR,Москва,2007-12-07T17:54:28+0300
Специалист по SEO,39000.0,45000.0,RUR,Москва,2007-12-07T18:23:55+0300
Разработчик ПО (Net/MSSQL),27000.0,35000.0,RUR,Нижний Новгород,2007-10-16T14:11:38+0400
Экономист – аналитик в центр проектных технологий,55000.0,100000.0,RUR,Москва,2007-12-13T12:07:42+0300
Программист 1С (Стажер),7000.0,7000.0,RUR,Москва,2007-09-03T11:21:09+0400
Специалист/Ведущий специалист отдела информационных и управленческих технологий,40000.0,80000.0,RUR,Москва,2007-08-24T11:05:44+0400
Разработчик Delphi,45000.0,65000.0,RUR,Москва,2007-07-18T14:29:29+0400
Специалист по сопровождению банковских информационных систем,10000.0,13000.0,RUR,Ярославль,2007-08-13T08:58:38+0400
J2EE Разработчик,25000.0,40000.0,RUR,Северо-Западный округ,2007-08-05T19:46:01+0400
IT-специалист (менеджер),28000.0,36000.0,RUR,Москва,2007-11-15T15:27:44+0300
Инженер по эксплуатации оборудования Cisco,25000.0,35000.0,RUR,Москва,2007-11-15T15:34:00+0300
Специалист по эксплуатации банкоматов,22000.0,35000.0,RUR,Москва,2007-11-15T16:03:47+0300
Специалист отдела расчетов и поддержки торговых организаций,20000.0,22000.0,RUR,Москва,2007-11-21T09:59:58+0300
Руководитель проектов (портальные решения),40000.0,55000.0,RUR,Санкт-Петербург,2007-11-28T10:29:03+0300
Редактор портала,20000.0,26000.0,RUR,Москва,2007-11-15T18:21:35+0300
Team Lead/ PM (J2EE),60000.0,80000.0,RUR,Санкт-Петербург,2007-11-15T19:03:11+0300
Руководитель отдела автоматизации в Банк,30000.0,40000.0,RUR,Санкт-Петербург,2007-12-17T22:32:36+0300
Программист,30000.0,55000.0,RUR,Москва,2007-11-16T08:45:02+0300
Специалист технического отдела,33000.0,55000.0,RUR,Москва,2007-11-16T09:10:14+0300
Оператор ПК,17000.0,20000.0,RUR,Москва,2007-11-16T10:01:17+0300
Web-дизайнер,30000.0,70000.0,RUR,Москва,2007-11-16T10:48:20+0300
Специалист отдела управления информацией,20000.0,25000.0,RUR,Москва,2007-11-16T11:28:49+0300
Сервис-инженер,8000.0,10000.0,RUR,Нижний Новгород,2007-11-16T11:35:21+0300
Системный администратор,16000.0,20000.0,RUR,Омск,2007-12-13T06:22:10+0300
Помощник системного администратора,17000.0,22000.0,RUR,Москва,2007-11-16T12:59:18+0300
Help-Desk,17000.0,22000.0,RUR,Москва,2007-11-16T13:06:26+0300
IT Systems Administrator,30000.0,55000.0,RUR,Москва,2007-11-16T13:25:14+0300
Системный администратор,30000.0,55000.0,RUR,Москва,2007-12-02T23:56:11+0300
Системный администратор,50000.0,60000.0,RUR,Москва,2007-12-10T10:49:36+0300
Системный администратор,20000.0,40000.0,RUR,Санкт-Петербург,2007-11-16T15:14:40+0300
Консультант-аналитик Axapta,60000.0,70000.0,RUR,Москва,2007-11-22T11:18:03+0300
Системный администратор,20000.0,25000.0,RUR,Санкт-Петербург,2007-12-20T13:12:30+0300
Администратор базы данных,15000.0,18000.0,RUR,Санкт-Петербург,2007-12-20T13:11:56+0300
"IT специалист, системный администратор",12000.0,30000.0,RUR,Пермь,2007-11-16T15:44:06+0300
IT специалист,12000.0,30000.0,RUR,Пермь,2007-11-16T15:55:05+0300
Руководитель группы разработчиков,50000.0,60000.0,RUR,Санкт-Петербург,2007-12-19T14:06:25+0300
Старший программист С/С++,27000.0,40000.0,RUR,Санкт-Петербург,2007-11-16T16:32:56+0300
Администратор СУБД ORACLE (9i/10g),70000.0,70000.0,RUR,Москва,2007-11-16T16:34:17+0300
Менеджер по продажам,28000.0,84000.0,RUR,Москва,2007-11-16T17:14:18+0300
Специалист Call-центра,5000.0,10000.0,RUR,Оренбург,2007-12-12T17:26:08+0300
Ведущий инжденер КТВ,15000.0,18000.0,RUR,Оренбург,2007-12-12T17:26:38+0300
Системный администратор,26000.0,31000.0,RUR,Москва,2007-11-16T17:37:11+0300
Специалист службы внедрения и сопровождения (технической поддержки),30000.0,45000.0,RUR,Москва,2007-11-16T19:19:57+0300
Специалист по поддержке пользователей,18000.0,21000.0,RUR,Саратов,2007-11-18T14:24:13+0300
Системный администратор,30000.0,35000.0,RUR,Москва,2007-11-19T10:22:16+0300
Программист,37000.0,37000.0,RUR,Москва,2007-11-19T11:04:32+0300
Программист С++ Builder + T-SQL,50000.0,70000.0,RUR,Центральный округ,2007-11-19T12:42:15+0300
Системный администратор,30000.0,40000.0,RUR,Московская область - Восток,2007-11-19T13:20:29+0300
"Product Support Analyst, Manufacturing",600000.0,900000.0,RUR,Москва,2007-11-19T14:12:22+0300
Системный администратор,18000.0,24000.0,RUR,Новосибирск,2007-11-19T14:42:45+0300
Системный администратор,50000.0,60000.0,RUR,Москва,2007-11-19T15:05:56+0300
Программист 1С,60000.0,70000.0,RUR,Москва,2007-11-19T15:51:37+0300
FAE Trainee,9000.0,14000.0,RUR,Москва,2007-12-17T16:41:48+0300
Дизайнер одежды,15000.0,25000.0,RUR,Санкт-Петербург,2007-11-19T17:11:38+0300
Редактор раздела Афиша,15000.0,25000.0,RUR,Москва,2007-12-10T16:02:41+0300
Руководитель проектов,60000.0,120000.0,RUR,Москва,2007-11-19T19:57:46+0300
Разработчик/программист Ruby on Rails,55000.0,80000.0,RUR,Москва,2007-12-17T14:55:39+0300
Разработчик/программист Java,55000.0,80000.0,RUR,Москва,2007-12-17T14:55:50+0300
Разработчик Perl,40000.0,55000.0,RUR,Москва,2007-12-17T14:55:50+0300
Инженер технической поддержки,10000.0,15000.0,RUR,Нижний Новгород,2007-11-20T09:00:34+0300
Ведущий специалист отдела техобеспечения,35000.0,40000.0,RUR,Москва,2007-11-20T09:28:33+0300
Специалист Отдела технологического сопровождения,27000.0,38000.0,RUR,Москва,2007-11-28T09:46:50+0300
Оператор ПК,20000.0,25000.0,RUR,Москва,2007-11-20T10:39:18+0300
Flash-разработчик,45000.0,65000.0,RUR,Москва,2007-11-20T10:41:10+0300
Бизнес-аналитик,50000.0,70000.0,RUR,Москва,2007-11-20T12:11:37+0300
Дизайнер,8000.0,15000.0,RUR,Воронеж,2007-12-18T10:59:43+0300
Ассистент руководителя направления,9000.0,15000.0,RUR,Москва,2007-11-20T14:20:34+0300
Системный администратор,40000.0,65000.0,RUR,Москва,2007-11-20T14:55:29+0300
Программист 1С,50000.0,90000.0,RUR,Москва,2007-11-20T14:58:08+0300
Менеджер по 1С,9000.0,20000.0,RUR,Екатеринбург,2007-12-20T13:52:09+0300
Программист 1C,10000.0,30000.0,RUR,Екатеринбург,2007-12-20T13:51:53+0300
Стажер 1С,6000.0,10000.0,RUR,Екатеринбург,2007-11-20T15:33:32+0300
Администратор баз данных,23000.0,28000.0,RUR,Москва,2007-11-20T15:43:38+0300
Инженер технической поддержки,20000.0,25000.0,RUR,Москва,2007-12-19T11:12:11+0300
Специалист отдела внешних связей,22300.0,35000.0,RUR,Москва,2007-11-20T16:19:32+0300
Системный Администратор,30000.0,35000.0,RUR,Санкт-Петербург,2007-12-20T11:37:57+0300
Менеджер по работе с клиентами,25000.0,60000.0,RUR,Москва,2007-11-20T17:00:42+0300
Специалист по ДОМИНО,40000.0,50000.0,RUR,Москва,2007-11-20T17:47:22+0300
IT Менеджер,100000.0,160000.0,RUR,Москва,2007-11-20T18:14:50+0300
Ассистент менеджера проектов (project manager assistant).,20000.0,26000.0,RUR,Москва,2007-11-20T18:22:29+0300
Web-программист,63000.0,96000.0,RUR,Москва,2007-11-20T19:53:19+0300
Программист 1С 8 (УПП),55000.0,60000.0,RUR,Москва,2007-12-06T20:46:30+0300
PR-менеджер,25000.0,50000.0,RUR,Москва,2007-11-20T20:06:07+0300
Менеджер активных продаж,20000.0,60000.0,RUR,Красноярск,2007-11-21T08:57:03+0300
Менеджер по продажам компьютерной техники,10000.0,20000.0,RUR,Пермь,2007-11-21T09:58:28+0300
Менеджер по продажам компьютерной техники,10000.0,20000.0,RUR,Пермь,2007-11-21T10:25:49+0300
Программист баз данных,40000.0,45000.0,RUR,Санкт-Петербург,2007-11-28T19:07:37+0300
Руководитель проекта (компьютерная техника),60000.0,72000.0,RUR,Москва,2007-11-21T10:50:55+0300
Инженер - системотехник,25000.0,30000.0,RUR,Москва,2007-11-21T11:19:41+0300
Системный администратор,30000.0,35000.0,RUR,Москва,2007-11-21T11:27:57+0300
Business Process Analyst (Axapta),60000.0,70000.0,RUR,Москва,2007-11-21T11:58:05+0300
Старший менеджер по тех. поддержке клиентов,40000.0,50000.0,RUR,Москва,2007-11-21T12:06:46+0300
Специалист-консультант,20000.0,60000.0,RUR,Москва,2007-12-13T12:07:41+0300
Руководитель IT отдела,75000.0,80000.0,RUR,Московская область - Восток,2007-11-21T12:50:01+0300
Ведущий программист J2EE,50000.0,75000.0,RUR,Москва,2007-11-21T14:02:12+0300
Сервис-инженер,8000.0,10000.0,RUR,Нижний Новгород,2007-11-21T14:11:38+0300
WEB программист,30000.0,40000.0,RUR,Москва,2007-11-21T14:31:33+0300
Senior software developer,60000.0,100000.0,RUR,Москва,2007-11-21T15:06:11+0300
Software developer,40000.0,60000.0,RUR,Москва,2007-11-21T15:08:06+0300
Специалист Отдела ИТ,15000.0,22000.0,RUR,Ростов-на-Дону,2007-11-21T15:11:03+0300
Аналитик,20000.0,25000.0,RUR,Санкт-Петербург,2007-10-09T12:51:35+0400
Пресейл-менеджер систем управления (OSS),45000.0,80000.0,RUR,Москва,2007-09-13T17:58:04+0400
Консультант-аудитор по направлению информационная безопасность,50000.0,90000.0,RUR,Москва,2007-09-13T18:09:25+0400
Бизнес/системный аналитик в управление автоматизации банка,50000.0,70000.0,RUR,Москва,2007-09-13T18:28:10+0400
Руководитель инфраструктурных проектов (IT направление),60000.0,200000.0,RUR,Москва,2007-09-13T18:41:22+0400
Креативный дизайнер,27000.0,40000.0,RUR,Москва,2007-09-13T23:50:14+0400
Специалист по защите информации,20000.0,25000.0,RUR,Новосибирск,2007-10-16T06:11:51+0400
Системный аналитик,65000.0,75000.0,RUR,Москва,2007-09-14T10:01:21+0400
Системный администратор,20000.0,30000.0,RUR,Москва,2007-09-14T12:14:39+0400
Специалист по технической поддержке,15000.0,25000.0,RUR,Москва,2007-09-14T12:19:22+0400
Программист 1С,55000.0,70000.0,RUR,Москва,2007-10-08T10:55:20+0400
Специалист по логистике ДИТ,40000.0,40000.0,RUR,Москва,2007-09-14T12:45:54+0400
Корректор,7000.0,8000.0,RUR,Воронеж,2007-09-14T13:00:30+0400
Ведущий специалист отдела информационной безопасности(Лицензирование),50000.0,60000.0,RUR,Москва,2007-10-10T13:56:32+0400
Ведущий специалист отдела информационной безопасности(ПО),60000.0,70000.0,RUR,Москва,2007-10-10T13:56:39+0400
Ведущий специалист отдела информационной безопасности(процессинг),60000.0,70000.0,RUR,Москва,2007-10-10T13:56:46+0400
Разработчик (архитектор) БД на платформе 1С7.7,50000.0,60000.0,RUR,Москва,2007-10-15T12:09:40+0400
Помощник системного администратора,35000.0,45000.0,RUR,Москва,2007-09-27T10:56:47+0400
Старший системный администратор,52000.0,52000.0,RUR,Москва,2007-09-14T14:05:34+0400
Системный администратор,50000.0,55000.0,RUR,Москва,2007-09-26T11:14:09+0400
Системный администратор,20000.0,25000.0,RUR,Москва,2007-09-14T14:18:43+0400
Руководитель отдела телекоммуникаций,23000.0,28000.0,RUR,Санкт-Петербург,2007-09-14T14:19:01+0400
Инженер связи,15000.0,19000.0,RUR,Санкт-Петербург,2007-09-14T14:27:49+0400
Ведущий Разработчик 1С/Бизнес-аналитик,60000.0,70000.0,RUR,Москва,2007-09-14T15:16:48+0400
Веб-программист,52000.0,67000.0,RUR,Москва,2007-10-16T00:55:29+0400
Администратор базы данных (Oracle DBA),36000.0,36000.0,RUR,Санкт-Петербург,2007-10-31T14:50:01+0300
Администратор баз данных Oracle,70000.0,70000.0,RUR,Москва,2007-09-17T10:20:30+0400
Системный администратор,12000.0,15000.0,RUR,Ростов-на-Дону,2007-09-17T11:37:25+0400
Ассистент менеджера проектов (project manager assistant).,20000.0,26000.0,RUR,Москва,2007-10-15T12:25:45+0400
Системный администратор,28000.0,40000.0,RUR,Москва,2007-09-17T13:09:51+0400
Ведущий системный администратор Lotus,75000.0,95000.0,RUR,Москва,2007-11-06T14:50:57+0300
Программист PHP,40000.0,50000.0,RUR,Москва,2007-09-17T13:21:34+0400
Системный администратор,9000.0,12000.0,RUR,Белгород,2007-09-17T13:42:21+0400
Системный администратор Oracle,75000.0,90000.0,RUR,Москва,2007-11-06T16:07:29+0300
Начальник отдела техподдержки,50000.0,70000.0,RUR,Москва,2007-09-17T14:15:29+0400
Программист 1С,40000.0,45000.0,RUR,Москва,2007-09-17T14:41:44+0400
Менеджер по продажам,12000.0,20000.0,RUR,Санкт-Петербург,2007-10-02T16:05:26+0400
Баннер-мейкер FLASHER (АНИМАТОР),40000.0,45000.0,RUR,Санкт-Петербург,2007-09-24T11:33:25+0400
Инженер технической поддержки,18500.0,18500.0,RUR,Москва,2011-05-23T09:07:41+0400
Менеджер по продажам,12000.0,35000.0,RUR,Казань,2011-06-22T20:32:04+0400
PHP программист,12000.0,18000.0,RUR,Казань,2011-06-22T20:31:46+0400
WEB-мастер,50000.0,50000.0,RUR,Москва,2011-05-23T09:11:14+0400
IT specialist,80000.0,85000.0,RUR,Москва,2011-01-14T14:23:22+0300
Storage Brand Sales Manager (Telco),150000.0,200000.0,RUR,Москва,2011-01-27T09:44:15+0300
Инженер – конструктор по продуктам WebSphere,70000.0,85000.0,RUR,Москва,2011-01-11T13:57:46+0300
Инженер – конструктор по продуктам WebSphere (DB2),70000.0,85000.0,RUR,Москва,2011-01-11T13:57:46+0300
PHP программист (разработка игр),60000.0,75000.0,RUR,Москва,2011-01-25T12:24:29+0300
Менеджер по продажам рекламных площадей в ИТ изданиях,35000.0,60000.0,RUR,Москва,2011-02-16T19:09:38+0300
PHP-программист,35000.0,60000.0,RUR,Санкт-Петербург,2011-03-25T15:37:43+0300
Менеджер по продажам компьютерной техники..,35000.0,90000.0,RUR,Москва,2011-03-21T17:37:53+0300
Менеджер по продажам,40000.0,60000.0,RUR,Москва,2011-09-25T14:12:22+0400
Руководитель корпоративного отдела,30000.0,50000.0,RUR,Красноярск,2011-01-13T08:59:49+0300
Программист 1С,35000.0,40000.0,RUR,Воронеж,2011-03-14T17:36:43+0300
Программист-разработчик (PHP),30000.0,40000.0,RUR,Ростов-на-Дону,2011-03-07T14:58:33+0300
Ведущий инженер-тестировщик\Leading QA engineer,70000.0,90000.0,RUR,Москва,2011-02-03T12:29:45+0300
Python-разработчик,50000.0,100000.0,RUR,Россия,2011-02-15T11:16:15+0300
"Разработчик по внедрению КИС ""ПАРУС""",50000.0,80000.0,RUR,Москва,2011-01-11T11:16:44+0300
Java Web Developer,32000.0,65000.0,RUR,Санкт-Петербург,2011-03-28T10:12:08+0400
Программист - разработчик,70000.0,80000.0,RUR,Москва,2011-02-10T15:18:20+0300
Программист 1С-Битрикс (консультант),55000.0,60000.0,RUR,Москва,2011-02-09T11:45:03+0300
Бизнес-аналитик,70000.0,90000.0,RUR,Санкт-Петербург,2011-01-12T12:55:03+0300
Веб-программист г. Томск,30000.0,40000.0,RUR,Томск,2011-04-04T13:21:39+0400
Программист 1С,70000.0,80000.0,RUR,Москва,2011-05-23T09:31:13+0400
Аналитик,45000.0,65000.0,RUR,Москва,2011-04-04T13:24:39+0400
Сменный инженер,10000.0,15000.0,RUR,Москва,2011-04-04T13:28:26+0400
Старший инженер-программист (хранилище данных),70000.0,80000.0,RUR,Москва,2011-04-04T13:29:11+0400
Веб-дизайнер,30000.0,40000.0,RUR,Москва,2011-04-04T13:31:09+0400
Специалист по сопровождению провайдеров,35000.0,46000.0,RUR,Москва,2011-05-03T14:18:56+0400
Web-программист — опытный,30000.0,40000.0,RUR,Казань,2011-04-04T13:38:14+0400
Системный администратор,24000.0,24000.0,RUR,Краснодар,2011-04-04T13:40:20+0400
Региональный торговый представитель,25000.0,35000.0,RUR,Казань,2011-04-04T13:40:46+0400
Менеджер по продажам,20000.0,90000.0,RUR,Москва,2011-05-04T15:30:29+0400
Программист 1C,70000.0,80000.0,RUR,Москва,2011-05-10T10:56:15+0400
Веб-мастер-дизайнер,30000.0,40000.0,RUR,Москва,2011-04-04T13:51:05+0400
Менеджер по продажам Voip оборудования,35000.0,70000.0,RUR,Москва,2011-04-18T12:22:15+0400
Младший разработчик C#/ASP.NET,25000.0,35000.0,RUR,Санкт-Петербург,2011-04-04T14:03:42+0400
Java-разработчик,60000.0,90000.0,RUR,Москва,2011-04-29T10:31:57+0400
Копирайтер (SEO-журналист),50000.0,55000.0,RUR,Москва,2011-04-04T14:45:33+0400
Консультант 1С,35000.0,50000.0,RUR,Москва,2011-04-04T14:56:14+0400
Менеджер продаж,9000.0,70000.0,RUR,Санкт-Петербург,2011-04-04T15:00:46+0400
PHP программист,20000.0,25000.0,RUR,Тверь,2011-04-04T15:00:49+0400
Программист 1С,25000.0,35000.0,RUR,Самара,2011-04-04T15:02:45+0400
Сотрудник отдела планов и контроля,18000.0,20000.0,RUR,Санкт-Петербург,2011-04-04T15:04:34+0400
Младший консультант SAP Business One,30000.0,40000.0,RUR,Москва,2011-04-04T15:08:46+0400
Инженер-программист SAP Business One,30000.0,40000.0,RUR,Москва,2011-04-04T15:11:39+0400
HTML верстальщик,20000.0,50000.0,RUR,Москва,2011-04-04T15:12:06+0400
Ведущий инженер по тестированию ПО (Automation Lead) (T7-156L-18),55000.0,75000.0,RUR,Санкт-Петербург,2011-06-08T12:52:48+0400
Системный администратор,50000.0,50000.0,RUR,Москва,2011-04-04T15:17:12+0400
